,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,Profit,ROMS
0,1,Peoria,Arizona,Region 2,Old,2601,48610,46009,1768.9
1,2,Midland,Texas,Region 2,Old,2727,45689,42962,1575.43
2,3,Spokane,Washington,Region 2,Old,2768,49554,46786,1690.25
3,4,Denton,Texas,Region 2,Old,2759,38284,35525,1287.6
4,5,Overland Park,Kansas,Region 2,Old,2869,59887,57018,1987.38
5,6,Yonkers,New York,Region 1,Old,3080,53827,50747,1647.63
6,7,Birmingham,Alabama,Region 1,Old,3110,60338,57228,1840.13
7,8,Antioch,California,Region 2,Old,2593,19569,16976,654.69
8,9,Worcester,Massachusetts,Region 1,Old,2675,59840,57165,2137.01
9,10,Rochester,New York,Region 1,Old,2984,64906,61922,2075.13
10,11,Rialto,California,Region 2,Old,2541,16860,14319,563.52
11,12,Santa Maria,California,Region 2,Old,2651,21988,19337,729.42
12,13,Las Cruces,New Mexico,Region 2,Old,2895,19888,16993,586.98
13,14,Jackson,Mississippi,Region 1,Old,3466,54701,51235,1478.22
14,15,Hillsboro,Oregon,Region 2,Old,2686,18471,15785,587.68
15,16,Temecula,California,Region 2,Old,2795,16690,13895,497.14
16,17,Tallahassee,Florida,Region 1,Old,2737,47729,44992,1643.84
17,18,Fontana,California,Region 2,Old,3085,63027,59942,1943.01
18,19,Kent,Washington,Region 2,Old,2894,43183,40289,1392.16
19,20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,16355,591.5
20,21,Concord,California,Region 2,Old,2521,38178,35657,1414.4
21,22,Modesto,California,Region 2,Old,3077,56836,53759,1747.12
22,23,Montgomery,Alabama,Region 1,Old,3287,52114,48827,1485.46
23,24,Burbank,California,Region 2,Old,3679,20123,16444,446.97
24,25,Elk Grove,California,Region 2,Old,2918,49856,46938,1608.57
25,26,Port St. Lucie,Florida,Region 1,Old,2420,55790,53370,2205.37
26,27,Elizabeth,New Jersey,Region 1,Old,2557,45017,42460,1660.54
27,28,Salt Lake City,Utah,Region 2,Old,3620,56921,53301,1472.4
28,29,Waco,Texas,Region 2,Old,2483,39744,37261,1500.64
29,30,Edison,New Jersey,Region 1,Old,3131,22972,19841,633.7
30,31,Boulder,Colorado,Region 2,Old,3083,22680,19597,635.65
31,32,Grand Rapids,Michigan,Region 1,Old,2808,65475,62667,2231.73
32,33,Tyler,Texas,Region 2,Old,2984,21718,18734,627.82
33,34,Charleston,South Carolina,Region 1,Old,2484,34829,32345,1302.13
34,35,Huntsville,Alabama,Region 1,Old,3335,59283,55948,1677.6
35,36,Pearland,Texas,Region 2,Old,3127,20057,16930,541.41
36,37,Inglewood,California,Region 2,Old,2904,20455,17551,604.37
37,38,Oxnard,California,Region 2,Old,2318,64302,61984,2674.03
38,39,Miramar,Florida,Region 1,Old,3488,49506,46018,1319.32
39,40,Cape Coral,Florida,Region 1,Old,2886,52250,49364,1710.46
40,41,Syracuse,New York,Region 1,Old,2373,41313,38940,1640.96
41,42,Newport News,Virginia,Region 1,Old,2758,57625,54867,1989.38
42,43,Lewisville,Texas,Region 2,Old,2607,16029,13422,514.84
43,44,Carrollton,Texas,Region 2,Old,3146,49191,46045,1463.6
44,45,San Bernardino,California,Region 2,Old,3399,59870,56471,1661.4
45,46,Pasadena,California,Region 2,Old,2790,48254,45464,1629.53
46,47,Roseville,California,Region 2,Old,3220,43397,40177,1247.73
47,48,Murrieta,California,Region 2,Old,2344,16372,14028,598.46
48,49,San Angelo,Texas,Region 2,Old,2939,50233,47294,1609.19
49,50,Olathe,Kansas,Region 2,Old,3082,41460,38378,1245.23
50,51,Akron,Ohio,Region 1,Old,2338,50364,48026,2054.15
51,52,Fullerton,California,Region 2,Old,3246,44223,40977,1262.38
52,53,Manchester,New Hampshire,Region 1,Old,2374,17006,14632,616.34
53,54,Everett,Washington,Region 2,Old,3129,15562,12433,397.35
54,55,West Covina,California,Region 2,Old,2939,21824,18885,642.57
55,56,Thornton,Colorado,Region 2,Old,2642,46490,43848,1659.65
56,57,Hampton,Virginia,Region 1,Old,2871,38782,35911,1250.82
57,58,Waterbury,Connecticut,Region 1,Old,3392,19350,15958,470.46
58,59,Ventura,California,Region 2,Old,3228,16652,13424,415.86
59,60,Davenport,Iowa,Region 1,Old,3175,23764,20589,648.47
60,61,Columbia,South Carolina,Region 1,Old,2874,42803,39929,1389.32
61,62,Simi Valley,California,Region 2,Old,2792,41110,38318,1372.42
62,63,Richmond,California,Region 2,Old,3924,19448,15524,395.62
63,64,Little Rock,Arkansas,Region 2,Old,2440,68828,66388,2720.82
64,65,El Cajon,California,Region 2,Old,2950,19529,16579,562.0
65,66,Santa Clara,California,Region 2,Old,2462,29008,26546,1078.23
66,67,Oceanside,California,Region 2,Old,3084,55684,52600,1705.58
67,68,Davie,Florida,Region 1,Old,3177,45418,42241,1329.59
68,69,Lakeland,Florida,Region 1,Old,3003,18297,15294,509.29
